Country,City,City Link,Category,Keyword,Post_title,Link
US,hartford,https://hartford.craigslist.org,Gigs,Marketing,Field Marketing Representative - Paid Daily,https://hartford.craigslist.org/lbg/d/vernon-rockville-field-marketing/7773839514.html
US,hartford,https://hartford.craigslist.org,Gigs,Marketing,💻Agents Wanted-Job Opportunity: Help Us Test a New Marketing Strategy,https://hartford.craigslist.org/cpg/d/stamford-agents-wanted-job-opportunity/7772018822.html
US,hartford,https://hartford.craigslist.org,Gigs,Marketing,Field Marketing Representative - Paid Daily,https://hartford.craigslist.org/lbg/d/vernon-rockville-field-marketing/7769624056.html
US,washingtondc,https://washingtondc.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Alexandria,https://washingtondc.craigslist.org/nva/evg/d/alexandria-marketing-research/7774018768.html
US,miami,https://miami.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience,https://miami.craigslist.org/pbc/evg/d/delray-beach-need-year-olds-for-paid/7774018185.html
US,miami,https://miami.craigslist.org,Gigs,Marketing,Work From Home Selling SKOOL Digital Marketing Course,https://miami.craigslist.org/mdc/cpg/d/miami-work-from-home-selling-skool/7771772194.html
US,miami,https://miami.craigslist.org,Gigs,Marketing,Flyer Distributor (with your car) - marketing / advertising / Pr,https://miami.craigslist.org/brw/crg/d/fort-lauderdale-flyer-distributor-with/7775027838.html
US,daytona,https://daytona.craigslist.org,Gigs,Marketing,Marketing Company Needs Mobile Food Truck,https://daytona.craigslist.org/evg/d/palm-coast-marketing-company-needs/7774464897.html
US,daytona,https://daytona.craigslist.org,Gigs,Marketing,Marketing Company Needs Ice Cream/Food Truck,https://daytona.craigslist.org/evg/d/palm-coast-marketing-company-needs-ice/7774476215.html
US,keys,https://keys.craigslist.org,Gigs,Marketing,Marketing Research - Key West,https://keys.craigslist.org/evg/d/key-west-marketing-research-key-west/7766288571.html
US,gainesville,https://gainesville.craigslist.org,Gigs,Marketing,Marketing/Social Media Assitant,https://gainesville.craigslist.org/cpg/d/gainesville-marketing-social-media/7766319820.html
US,jacksonville,https://jacksonville.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - Jacksonville,https://jacksonville.craigslist.org/evg/d/jacksonville-need-year-olds-for-paid/7774018259.html
US,orlando,https://orlando.craigslist.org,Gigs,Marketing,Marketing,https://orlando.craigslist.org/lbg/d/orlando-marketing/7770405374.html
US,orlando,https://orlando.craigslist.org,Gigs,Marketing,Nonprofit volunteer for marketing & video editor,https://orlando.craigslist.org/lbg/d/montverde-nonprofit-volunteer-for/7770805951.html
US,sarasota,https://sarasota.craigslist.org,Gigs,Marketing,Event Marketing and Promotions - Models,https://sarasota.craigslist.org/evg/d/sarasota-event-marketing-and-promotions/7772430361.html
US,sarasota,https://sarasota.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Bradenton,https://sarasota.craigslist.org/evg/d/bradenton-marketing-research/7770898570.html
US,sarasota,https://sarasota.craigslist.org,Gigs,Marketing,Marketing Research - Sarasota,https://sarasota.craigslist.org/evg/d/sarasota-marketing-research-sarasota/7766288700.html
US,tallahassee,https://tallahassee.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing  - Tallahassee,https://tallahassee.craigslist.org/evg/d/tallahassee-need-year-olds-for-paid/7766631633.html
US,tampa,https://tampa.craigslist.org,Gigs,Marketing,Telemarketing No Selling,https://tampa.craigslist.org/pnl/lbg/d/pinellas-park-telemarketing-no-selling/7773224158.html
US,treasure,https://treasure.craigslist.org,Gigs,Marketing,Telemarketing/computer,https://treasure.craigslist.org/cpg/d/port-saint-lucie-telemarketing-computer/7767775972.html
US,athensga,https://athensga.craigslist.org,Gigs,Marketing,Marketing Research Opportunity in Athens  for Ages 21-30 (Athens),https://athensga.craigslist.org/evg/d/athens-marketing-research-opportunity/7769512986.html
US,atlanta,https://atlanta.craigslist.org,Gigs,Marketing,"""$300 a Day Digital Marketing Business""",https://atlanta.craigslist.org/atl/cpg/d/atlanta-300-day-digital-marketing/7775282911.html
US,atlanta,https://atlanta.craigslist.org,Gigs,Marketing,Business Casual Marketing Rep Needed $15+,https://atlanta.craigslist.org/atl/evg/d/atlanta-business-casual-marketing-rep/7772848347.html
US,augusta,https://augusta.craigslist.org,Gigs,Marketing,Marketing Position Available,https://augusta.craigslist.org/cpg/d/augusta-marketing-position-available/7768943749.html
US,augusta,https://augusta.craigslist.org,Gigs,Marketing,Marketing Assistant Job Available,https://augusta.craigslist.org/cpg/d/augusta-marketing-assistant-job/7767078350.html
US,honolulu,https://honolulu.craigslist.org,Gigs,Marketing,💻Agents Wanted-Job Opportunity: Help Us Test a New Marketing Strategy,https://honolulu.craigslist.org/oah/cpg/d/honolulu-agents-wanted-job-opportunity/7772013275.html
US,chicago,https://chicago.craigslist.org,Gigs,Marketing,intern/marketing/entertainment,https://chicago.craigslist.org/chc/evg/d/chicago-intern-marketing-entertainment/7774157981.html
